ListName,Id,display_name,Name,label::nepali,media::image::english,media::video::english,media::audio::english,media::image::nepali,media::video::nepali,media::audio::nepali,dist1,q101,q101_b,q101_c,q101_a,q102,q102a
q301a6b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a6b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a6b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a6b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a6b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a6b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a7,1,,Yes,?,,,,,,,,,,,,,
q301a7,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a7b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a7b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a7b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a7b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a7b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a7b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a7b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a7b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a7b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a7b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a8,1,,Yes,?,,,,,,,,,,,,,
q301a8,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a8b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a8b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a8b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a8b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a8b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a8b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a8b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a8b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a8b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
